G_1	-0.0251	-0.0723
G_2	-0.0258	0.0178
G_3	-0.0327	0.0141
G_4	-0.0163	0.0252
G_5	-0.0312	0.0104
G_6	-0.0338	0.0133
G_7	-0.0327	0.0109
G_8	-0.0348	0.0079
G_9	-0.03	-0.0778
G_10	-0.0365	-0.0827
G_11	-0.036	-0.0811
G_12	-0.009	0.0385
G_13	-0.0221	-0.0695
G_14	-0.0316	-0.0762
G_15	-0.0144	0.034
G_16	-0.0352	-0.0825
G_17	-0.0383	0.008
G_18	-0.0271	-0.079
G_19	-0.032	0.0103
G_20	-0.0319	-0.0797
G_21	-0.0369	-0.0815
G_22	-0.0339	0.0175
G_23	-0.0271	-0.0751
G_24	-0.0344	-0.0817
G_25	-0.0348	-0.0786
G_26	-0.0231	0.0226
G_27	-0.0384	0.0078
G_28	-0.0318	0.0091
G_29	-0.0294	0.0156
G_30	-0.0315	-0.0794
G_31	0.0143	0.057
G_32	0.0012	0.0516
G_33	-0.0367	0.0098
G_34	-0.0284	-0.077
G_35	0.212	0.0642
G_36	-0.0378	0.0074
G_37	-0.0385	0.0078
G_38	-0.0381	0.0101
G_39	-0.0356	0.0113
G_40	-0.0314	0.0121
G_41	0.0245	0.0971
G_42	-0.0376	-0.0815
G_43	-0.0149	-0.0563
G_44	-0.0281	-0.0797
G_45	-0.0252	0.0151
G_46	-0.0337	-0.0793
G_47	0.2158	0.1086
G_48	-0.0348	0.0076
G_49	0.0201	-0.021
G_50	-0.0351	0.0087
G_51	-0.0289	-0.0772
G_52	-0.0126	-0.0759
G_53	-0.0336	0.0087
G_54	-0.0322	-0.0721
G_55	-0.0381	-0.0821
G_56	0.1783	0.0593
G_57	-0.0337	-0.0798
G_58	-0.0331	-0.0806
G_59	0.0344	0.0781
G_60	-0.0342	-0.081
G_61	-0.0276	-0.0754
G_62	-0.0166	-0.047
G_63	-0.0232	0.0251
G_64	-0.0126	-0.0627
G_65	-0.0314	0.0098
G_66	-0.0351	-0.0806
G_67	-0.0282	-0.0756
G_68	-0.025	-0.0719
G_69	-0.0321	0.015
G_70	-0.0361	-0.0791
G_71	-0.0279	0.0193
G_72	-0.0345	0.0112
G_73	0.1584	0.1087
G_74	-0.0364	0.0093
G_75	-0.0294	0.0119
G_76	-0.0351	0.0077
G_77	-0.0324	-0.0783
G_78	-0.0342	-0.082
G_79	-0.034	0.0097
G_80	-0.0282	0.0132
G_81	-0.0135	0.0353
G_82	-0.0265	0.0164
G_83	0.0027	-0.0667
G_84	0.2624	0.2713
G_85	-0.0252	0.0197
G_86	-0.0348	0.0086
G_87	-0.0188	0.0242
G_88	-0.0311	0.0139
G_89	-0.0306	0.0123
G_90	-0.0124	-0.0701
G_91	-0.0302	0.0156
G_92	-0.0292	-0.075
G_93	-0.0363	0.0087
G_94	0.0939	0.0601
G_95	-0.03	0.0104
G_96	-0.0295	0.014
G_97	0.0628	0.1214
G_98	-0.0089	-0.0691
G_99	0.0042	0.0426
G_100	-0.0336	-0.0819
G_101	-0.0344	-0.0819
G_102	-0.0376	0.0102
G_103	-0.0345	-0.0818
G_104	-0.0325	-0.0811
G_105	-0.0378	0.0085
G_106	-0.0326	-0.0772
G_107	-0.0086	0.0452
G_108	-0.0366	0.0094
G_109	-0.0315	0.0112
G_110	-0.0315	0.0169
G_111	-0.0312	0.0121
G_112	-0.0254	-0.0738
G_113	-0.0276	-0.0698
G_114	0.0003	-0.0184
G_115	0.0026	-0.0681
G_116	-0.0344	0.0107
G_117	-0.0292	0.0192
G_118	-0.0132	0.0244
G_119	-0.0298	0.011
G_120	-0.0353	0.0112
G_121	-0.0224	-0.077
G_122	-0.0346	0.009
G_123	-0.0375	-0.082
G_124	-0.0354	0.0108
G_125	-0.0085	-0.072
G_126	-0.0044	-0.0579
G_127	-0.021	0.0232
G_128	0.1304	0.268
G_129	-0.0249	-0.0741
G_130	-0.0354	0.0082
G_131	-0.0353	0.0099
G_132	-0.0359	-0.0794
